LOAN;MORTDUE;VALUE;REASON;JOB;YOJ;DEROG;DELINQ;CLAGE;NINQ;CLNO;BAD
4800;80482;88342;HomeImp;ProfExe;7;0;0;275.03239483;0;11;0
4900;58688;63348;DebtCon;ProfExe;9;0;3;179.16257471;2;31;0
4900;25597;23031;HomeImp;Other;5;0;0;101.74676644;0;8;1
4900;67794;84630;HomeImp;Other;4;0;0;112.57341888;0;15;0
4900;44000;59745;HomeImp;Other;10;0;0;81.5;3;13;1
4900;65576;65774;HomeImp;Other;6;1;2;61.64250608;1;14;1
4900;57461;68494;DebtCon;ProfExe;8;0;4;183.63561323;0;30;0
5000;66839;87168;HomeImp;Other;4;0;0;122.59722258;0;15;0
5000;90059;113714;HomeImp;ProfExe;7;0;0;193.63644686;0;28;0
5000;22320;34900;HomeImp;Other;10;0;0;65.7;1;5;1
5000;40000;70500;HomeImp;Mgr;0.4;0;0;61.766666667;2;8;1
5000;100882;102700;HomeImp;Mgr;5;0;1;58.866666667;0;16;1
5000;63125;126500;HomeImp;Office;3;0;0;100.3;0;14;1
5000;34200;50830;HomeImp;Other;6;0;0;57;1;9;1
5000;16600;25250;HomeImp;Other;6;0;0;88.7;1;3;1
5000;22700;34225;HomeImp;Other;4;0;0;74.633333333;3;9;1
5000;6000;38575;HomeImp;Self;7;0;1;335.03333333;3;42;1
5000;73126;87500;DebtCon;Other;1;0;0;125.96666667;2;10;0
5000;72517;86250;DebtCon;Mgr;19;0;1;300.36666667;1;24;0
5000;26037;35000;HomeImp;ProfExe;12;0;0;182.63333333;0;13;0
5000;78565;98500;DebtCon;ProfExe;24;0;0;51.766666667;3;14;0
5000;59900;80800;DebtCon;ProfExe;15;0;0;219.13333333;1;18;0
5000;10171;26809;HomeImp;Office;13;3;6;228.3;0;24;1
5000;78893;82600;HomeImp;Mgr;16;0;0;133.9;1;34;1
5000;85165;107940;HomeImp;Mgr;6;5;3;122.76666667;5;28;1
5000;68000;75616;DebtCon;ProfExe;0.1;0;0;131.86666667;0;30;1
5000;71571;85100;DebtCon;ProfExe;1.4;0;1;82.133333333;0;13;1
5000;28000;36810;DebtCon;Other;2;1;0;222.2;1;6;1
5000;40000;32480;HomeImp;Other;8;3;2;163.36666667;1;16;1
5000;61999;75021.3;HomeImp;Other;5;0;0;97.1;0;23;1
5000;80153;97275;DebtCon;Other;1;0;0;120.67506316;2;10;0
5000;46696;85202;HomeImp;Other;2;1;2;148.34064549;0;14;1
5000;66435;82819;HomeImp;Other;2;0;0;125.13062556;0;14;0
5100;85583;115341;HomeImp;ProfExe;7;0;0;177.95825512;1;28;0
5100;72891;80691;HomeImp;Other;1;1;0;273.88170516;0;6;0
5100;30755;46735;HomeImp;Other;10;0;0;69;0;17;1
5100;87258;121382;HomeImp;ProfExe;6;0;0;181.66304016;0;28;0
5100;9900;30451;HomeImp;Other;11;0;0;21.2;0;2;1
5100;15500;34000;DebtCon;Other;0;1;2;86.233333333;2;13;1
5100;129319;141875;HomeImp;Sales;7;1;0;157.85980209;0;36;1
5100;66834;87361;HomeImp;Other;0;2;0;290.03410799;0;6;0
5100;73882;96031;DebtCon;Other;0;0;0;125.78740011;1;10;0
5100;74071;97064;DebtCon;Other;0;0;0;121.0759726;2;9;0
5100;62702;79784;HomeImp;Other;2;0;0;108.07259081;0;15;0
5200;67000;77000;HomeImp;Other;9;0;1;119.7;0;25;0
5200;19000;26000;DebtCon;Other;0;1;0;17.2;10;7;0
5200;91250;110000;HomeImp;Office;24;0;0;123.76666667;1;12;0
5200;40564;39527;HomeImp;Other;0;0;0;157.77103572;1;13;1
5300;66987;65111;HomeImp;Sales;4;1;0;175.32870382;1;22;0
5300;51000;64000;HomeImp;Mgr;10;1;0;98.333333333;0;12;1
5300;75958;91703;DebtCon;Other;0;0;0;124.1821788;1;10;0
5300;97132;117343;HomeImp;Office;22;0;0;109.93390789;1;11;0
5300;47449;63895;HomeImp;Office;19;0;0;208.16271401;0;20;0
5300;50934;62957;HomeImp;Office;21;0;0;197.24195728;0;20;0
5400;45509;57453;DebtCon;Sales;4;0;0;95.6;0;22;1
5400;59720;63450;HomeImp;ProfExe;5;0;1;199.9;1;20;1
5400;86922;119846;HomeImp;ProfExe;5;0;0;185.07634726;1;28;0
5400;68625;82304;DebtCon;Sales;2;0;0;136.63294416;0;30;0
5400;65814;85848;HomeImp;Other;4;0;0;122.9402886;0;15;0
5400;78300;88000;HomeImp;ProfExe;8;0;0;102.5;3;19;1
5500;70481;82446;HomeImp;Other;8;0;1;116.59197688;0;24;0
5500;87765;101053;DebtCon;ProfExe;22;0;0;55.558049044;2;13;0
5500;52897;65054;HomeImp;Office;20;0;0;189.29531847;0;19;0
5500;24700;35675;DebtCon;Other;1;0;3;153.93333333;3;27;1
5500;21359;30000;DebtCon;Other;7;3;2;130.8;3;14;1
5500;93051;115374;HomeImp;ProfExe;6;0;0;187.02051879;1;27;0
5500;87438;116679;HomeImp;ProfExe;6;0;0;186.42441602;1;27;0
5500;72147;69918;HomeImp;Sales;4;2;0;158.5344979;0;23;0
5500;40584;46645;HomeImp;Other;4;0;1;136.32063746;0;13;1
5500;37368;48502;HomeImp;Mgr;9;0;2;48.995845002;0;10;1
5500;71644;72696;HomeImp;Sales;4;2;0;150.86584513;0;22;0
5500;85845;122205;DebtCon;ProfExe;5;0;0;172.21327665;1;26;1
5600;53793;66379;HomeImp;Office;22;0;0;206.09913412;0;19;0
5600;69435;83489;DebtCon;ProfExe;14;0;0;200.41843402;1;17;0
5600;29648;39907;HomeImp;ProfExe;11;0;0;180.56306914;0;13;0
5600;76407;77485;HomeImp;Other;9;0;0;91.683770634;0;24;0
5600;5000;66700;HomeImp;Other;31;1;1;204.06666667;0;11;1
5600;55160;86800;HomeImp;Other;3;1;1;148.13333333;1;14;1
5700;100934;111496;HomeImp;Office;23;0;0;117.49959288;0;12;0
5700;49514;58249;HomeImp;Office;21;0;0;212.53911509;0;21;0
5700;76948;85753;HomeImp;Other;7;0;0;128.47645151;0;25;0
5700;28127;36524;HomeImp;ProfExe;10;0;0;181.28295679;0;13;0
5700;26927;35461;DebtCon;Other;0;1;0;21.799352154;10;6;0
5700;70000;84579;DebtCon;Sales;0.1;0;0;95.9;1;17;1
5700;58400;75000;HomeImp;ProfExe;4;0;0;177.5;2;26;1
5700;80437;109647;HomeImp;ProfExe;9.5;0;0;104.4;0;14;1
5700;77213;92661;DebtCon;Sales;0;0;0;97.133170952;1;16;1
5700;62319;82923;HomeImp;Other;4;0;0;117.6739652;0;15;0
5700;71556;79538;HomeImp;Other;2;0;0;92.643084556;0;15;0
5700;74172;79846;DebtCon;ProfExe;0;0;0;157.00977472;0;28;1
5700;28116;33450;DebtCon;Other;0;1;0;15.396587392;9;7;0
5800;75000;90543;DebtCon;Mgr;18;0;0;300.4872058;1;23;0
5800;79296;86885;DebtCon;Mgr;19;0;1;307.9748816;1;23;0
5800;27791;46833;DebtCon;Mgr;3;0;0;83.289062746;1;13;1
5800;46595;58191;HomeImp;Other;5;0;0;80.131746414;0;17;0
5900;70973;77989;HomeImp;Other;7;0;0;120.37941429;0;24;0
5900;25972;41856;DebtCon;Other;2;0;2;157.96001139;3;27;1
5900;74187;78976;HomeImp;Other;9;0;1;118.44249103;0;24;0
6000;95232;115977;HomeImp;Office;22;0;0;149.0229081;1;12;0
6000;47625;85925;HomeImp;Office;0.1;2;1;154.13333333;4;26;1
6000;24600;30500;HomeImp;Other;4.5;0;1;116.1;8;34;1
6000;42000;58305;DebtCon;Other;19;0;0;90;2;13;1
6000;32446;54904;HomeImp;Other;2;0;0;51.733333333;1;9;1
6000;9660;35900;DebtCon;Other;8;0;1;136.3;3;6;1
6000;22859;32200;DebtCon;Other;4;0;0;83.333333333;3;20;1
6000;72951;80000;HomeImp;Other;22.8;0;0;343.9;1;47;0
6000;53500;64790;DebtCon;Other;0.1;0;2;105.4;3;18;0
6000;69876;94394.07;HomeImp;Other;0;0;1;179.56666667;0;32;0
6000;51000;86125;HomeImp;ProfExe;6;0;0;222.16666667;2;24;0
6000;53227;68700;HomeImp;Mgr;3;0;2;122.73333333;0;23;0
6000;14000;61493;HomeImp;Office;23;0;0;321.63333333;1;13;0
6000;40000;54600;HomeImp;ProfExe;4;0;4;101.4;0;19;1
6000;18793;27750;HomeImp;Mgr;6;0;3;119.7;0;8;1
6000;179397;200000;DebtCon;ProfExe;5;6;0;90.3;6;29;1
6000;79046;103048;HomeImp;Other;0;0;0;181.69653802;0;32;0
6000;129731;154113;HomeImp;ProfExe;12;0;0;213.53333333;0;19;0
6100;91704;114799;HomeImp;Office;22;0;0;129.25008957;1;12;0
6100;47604;54966;HomeImp;Other;5;0;0;70.69532973;0;18;0
6100;62751;95617;HomeImp;Other;1;0;0;138.64686318;1;13;1
6100;68743;65321;HomeImp;Sales;3;1;0;153.0667831;0;22;0
6100;79636;87276;HomeImp;Other;20;0;0;350.43613755;0;47;0
6200;75657;84368;DebtCon;Sales;4;0;0;122.24494502;0;30;0
6200;46601;59486;HomeImp;Other;5;0;0;84.63211066;0;18;0
6200;60354;87596;HomeImp;ProfExe;5;0;0;210.17306467;2;23;0
6200;42100;57385;DebtCon;Other;8.5;0;1;164.8;1;28;1
6200;70793;71552;HomeImp;Sales;3;2;0;162.94515692;0;23;0
6200;73881;98550;HomeImp;Other;0;0;1;182.8787798;0;31;0
6200;133882;155222;HomeImp;ProfExe;9;0;0;212.53764322;0;19;0
6200;75623;89634;HomeImp;Other;24;0;0;324.68682941;0;47;0
6300;99469;116260;HomeImp;Office;23;0;0;124.74559549;1;12;0
6300;55000;69000;DebtCon;ProfExe;13;0;0;130.06666667;0;20;0
6300;78724;80355;HomeImp;Other;24;0;0;335.07414261;1;46;0
6300;59793;98314;DebtCon;Self;2.2;0;0;120.73333333;0;8;1
6300;65875;76000;DebtCon;Mgr;0.8;2;0;84;1;12;1
6300;92659;117352;HomeImp;ProfExe;6;0;0;199.01192718;0;27;0
6300;58052;70091;DebtCon;ProfExe;9;0;4;153.78043854;1;30;0
6300;12476;32559;HomeImp;Office;12;3;6;227.12990511;0;23;1
6300;69357;73726;HomeImp;Sales;3;2;0;163.28393319;1;22;0
6300;26655;29792;DebtCon;Other;1;1;0;12.759267447;10;6;0
6400;25144;45200;HomeImp;Other;25;0;2;128;4;17;1
6400;53476;70157;DebtCon;ProfExe;7;0;3;164.31540986;1;30;0
6400;81116;86148;HomeImp;ProfExe;8;0;0;262.17542613;0;11;0
6400;17491;63614;HomeImp;Office;23;0;0;325.29930871;0;12;0
6400;62746;75016;DebtCon;ProfExe;12;0;0;133.10154783;0;20;0
6400;76732;78084;HomeImp;Other;8;0;0;109.19302137;0;26;0
6400;70035;78635;DebtCon;Sales;3;0;0;147.07716353;0;31;0
6400;28041;33438;DebtCon;Other;1;1;0;10.42564285;10;6;0
6400;57887;74776;HomeImp;Mgr;3;0;1;126.32864372;0;22;0
6500;60054;70434;HomeImp;Other;1;0;0;127.06270157;2;21;1
6500;63144;76754;HomeImp;Mgr;2;0;2;129.0777116;0;23;0
6500;33639;37345;HomeImp;ProfExe;11;0;0;191.0756559;0;13;0
6500;48000;61000;DebtCon;Other;1;1;0;97.299756098;6;38;1
6500;65000;80400;DebtCon;Other;15;0;0;224.86666667;0;13;1
6500;22789;35836;HomeImp;Office;1;0;0;110.56666667;2;30;0
6500;75113;115900;HomeImp;Office;29;0;0;332.73333333;2;38;0
6500;55000;88300;HomeImp;Office;29;0;0;234.4;1;17;0
6500;60000;70000;DebtCon;ProfExe;9;0;0;54.766666667;2;24;0
6500;70300;107500;DebtCon;Office;1;0;0;242.46666667;1;38;0
6500;96314;105800;HomeImp;ProfExe;27;0;0;475.8;2;40;1
6500;81145;117530;HomeImp;Office;29;0;0;327.20063852;1;38;0
6500;183860;208910;DebtCon;ProfExe;4;6;0;86.452226941;6;29;1
6500;58689;72557;DebtCon;Other;0;0;1;94.00805286;2;18;0
6600;62380;89742;HomeImp;Office;31;0;0;232.52729073;0;16;0
6600;68733;81973;HomeImp;Other;5;0;0;96.977667199;0;14;0
6600;95450;112630;HomeImp;Office;23;0;0;122.81558408;0;12;0
6700;55113;56486;HomeImp;Other;4;0;0;84.417030462;0;17;0
6700;60301;70543;HomeImp;ProfExe;5;0;0;195.78086332;0;19;1
6700;49367;59609;HomeImp;Other;6;0;0;99.303700784;0;17;0
6700;58741;68225;DebtCon;ProfExe;9;0;3;173.5744163;1;31;0
6700;27510;42495;DebtCon;Other;2;0;2;171.52648922;3;27;1
6700;69773;83014;HomeImp;Other;0;1;0;263.17343429;0;5;0
6700;51855;58084;HomeImp;Office;21;0;0;193.75474567;0;19;0
6700;29662;36195;HomeImp;Office;1;0;0;112.13708066;1;30;0
6700;66587;70710;DebtCon;ProfExe;9;1;0;43.923382631;1;24;0
6700;54161;59714;HomeImp;Office;20;0;0;209.20630035;0;20;0
6700;134616;155034;HomeImp;ProfExe;13;1;0;215.42240638;0;19;0
6800;136951;160306;HomeImp;ProfExe;11;0;0;219.7356734;1;18;0
6800;138691;160063;HomeImp;ProfExe;12;0;0;208.42084303;0;19;0
6800;139578;154602;HomeImp;ProfExe;12;0;0;201.96083432;0;18;0
6800;57439;74816;HomeImp;Mgr;2;0;2;126.30323511;0;22;0
6800;76074;88178;HomeImp;Other;22;0;0;341.46505556;0;46;0
6800;31000;42000;DebtCon;Mgr;3.5;1;0;106.26666667;2;26;1
6800;45150;57150;DebtCon;Office;4;0;1;94.333333333;3;12;0
6800;56155;57912;HomeImp;Office;21;0;0;206.30632134;0;20;0
6800;71666;99913;HomeImp;Other;0;0;1;196.46499893;0;31;0
6800;75964;88754;DebtCon;Mgr;19;0;1;298.70048215;0;23;0
6900;75880;113612;DebtCon;Office;1;0;0;230.80558812;1;38;0
6900;70717;87466;HomeImp;Other;2;0;0;112.58906066;0;15;0
6900;53776;51952;HomeImp;Other;5;0;0;87.900118337;0;17;0
6900;53328;58088;DebtCon;Sales;2;0;0;101.5319079;0;21;1
6900;57257;63752;DebtCon;Other;10;2;0;138.23477796;0;22;1
6900;37055;83000;HomeImp;Sales;1;0;0;122.26666667;2;43;1
6900;97662;110046;HomeImp;Office;24;0;0;111.12339734;0;11;0
6900;49000;68280;DebtCon;Other;1;0;0;61.9;8;22;0
6900;49932;66042;HomeImp;Office;20;0;0;204.48458275;0;19;0
7000;73873;111781;DebtCon;Office;0;0;0;231.79991346;0;38;0
7000;74795;99149;HomeImp;Other;1;0;1;175.57144277;0;32;0
7000;78284;98214;HomeImp;Other;0;0;1;171.83838617;0;31;0
7000;58128;93740;HomeImp;ProfExe;5;0;0;213.36302767;2;24;0
7000;81335;81018;HomeImp;Other;22;0;0;341.61057605;1;47;0
7000;52287;87972;HomeImp;ProfExe;7;0;0;211.28441317;1;24;0
7000;46238;66842;DebtCon;Office;4;0;0;90.380409083;3;11;0
7000;142251;157250;HomeImp;Other;5;0;0;87.833333333;4;21;1
7000;19894;32500;DebtCon;Other;4;0;0;134.7;1;16;1
7000;18000;46520;HomeImp;Office;17;0;1;183.1;0;23;1
7000;66000;86300;DebtCon;Other;3;1;1;242.43333333;0;8;1
7000;46000;66660;DebtCon;Office;1;0;1;138.23333333;0;9;1
7000;120000;175450;DebtCon;Other;8;0;0;219.16666667;1;20;0
7000;58843;75300;HomeImp;Other;1.5;0;0;103.66666667;0;7;0
7000;7000;31200;DebtCon;Other;5;0;0;265.06666667;0;12;0
7000;29000;49000;DebtCon;Other;11;0;0;234.4;1;32;0
7000;56636;76353;HomeImp;Other;15;0;0;229.3;1;36;0
7000;55000;63000;HomeImp;Other;5;0;0;84.733333333;3;20;0
7000;46225;59000;DebtCon;Other;16;0;4;219.13333333;0;37;0
7000;53194;81150;HomeImp;ProfExe;14;7;0;183.63333333;2;28;1
7000;83000;97635;HomeImp;Other;5.6;3;0;141;0;10;1
7000;138841;160000;DebtCon;Mgr;11;8;0;86.2;2;36;1
7000;38800;53500;HomeImp;ProfExe;15;0;0;96.366666667;0;18;1
7000;25000;49840;DebtCon;Office;0.6;0;0;139;0;13;1
7000;18000;25000;DebtCon;Other;6.5;1;0;205.96666667;1;19;1
7000;74500;81600;HomeImp;ProfExe;2;2;0;340.9;0;29;1
7000;64300;119500;HomeImp;Other;1;1;0;54.833333333;0;8;1
7000;64255;68389;HomeImp;Other;4;0;0;80.152430908;2;19;0
7000;129959;161301;HomeImp;ProfExe;11;0;0;209.98629953;0;18;0
7000;58114;93391;HomeImp;ProfExe;6;0;0;200.07775507;1;24;0
7000;16047;67750;HomeImp;Office;21;0;0;315.32145267;0;12;0
7100;54000;74800;DebtCon;Mgr;7.5;1;1;71;4;18;1
7100;98490;114457;HomeImp;Office;23;0;0;116.10008714;0;11;0
7100;25896;33580;DebtCon;Other;1;0;0;29.856365166;9;7;0
7100;120176;180104;DebtCon;Other;8;0;0;221.60732419;0;18;0
7100;58639;72412;DebtCon;ProfExe;14;0;0;120.03346455;0;20;0
7100;57863;70969;DebtCon;Other;0;0;0;65.872044812;7;21;0
7100;64850;76985;HomeImp;Other;0;0;0;108.21718977;0;7;0
7100;53273;54378;HomeImp;Other;5;0;0;84.837249966;0;17;0
7200;54600;65000;DebtCon;Other;14;2;1;98.433333333;11;9;1
7200;62329;78007;DebtCon;ProfExe;8;0;0;55.35880309;1;23;0
7200;57912;84806;HomeImp;Other;15;0;0;241.51424984;0;35;0
7200;98691;115750;HomeImp;Office;22;0;0;118.00014232;0;11;0
7200;79946;113807;DebtCon;Office;1;0;0;238.45882498;0;37;0
7200;36264;48240;DebtCon;Other;15;0;0;82.166666667;0;12;0
7200;46000;67000;DebtCon;Other;24;0;0;142;1;14;1
7200;43705;50000;DebtCon;Other;9;0;2;235.36666667;6;16;1
7200;15637;39660;HomeImp;Self;6;0;1;354.23976343;3;42;1
7200;71667;117325;DebtCon;Office;0;0;1;241.05607809;1;38;0
7200;22832;31666;DebtCon;Other;0;0;0;38.003266851;9;7;0
7300;58671;87975;HomeImp;Mgr;3;0;0;74.066666667;1;16;1
7300;60890;75785;DebtCon;Other;6;0;1;45.966666667;0;13;1
7300;131000;197500;DebtCon;ProfExe;1.5;0;0;68.033333333;2;23;0
7300;55456;86766;HomeImp;ProfExe;6;0;0;240.05677145;2;23;0
7300;60973;79443;HomeImp;Other;14;0;0;239.62029765;1;36;0
7300;139348;205981;DebtCon;ProfExe;1;0;0;60.424760757;2;22;0
7400;32832;50798;DebtCon;Other;10;0;0;221.3384208;1;31;0
7400;138033;163162;HomeImp;ProfExe;11;0;0;224.84704249;0;19;0
7400;88288;119677;HomeImp;ProfExe;5;0;0;194.37214004;1;27;0
7400;73985;114849;DebtCon;Office;0;0;0;238.58630343;1;38;0
7400;51974;59323;HomeImp;Other;4;0;0;83.34671188;0;18;0
7400;56596;72861;HomeImp;Mgr;3;0;1;141.96214925;0;23;0
7400;71576;89068;DebtCon;Sales;0;0;0;94.782230694;0;17;1
7400;65032;83184;HomeImp;Other;15;0;0;230.42025592;1;35;0
7400;72739;91425;DebtCon;ProfExe;3.5;0;0;128.83333333;0;26;0
7400;82412;91326;DebtCon;Mgr;19;0;1;316.94708254;1;24;0
7500;57340;80000;DebtCon;ProfExe;4;0;5;86.233333333;3;14;1
7500;47518;60252;DebtCon;Other;16;0;3;220.62498387;0;37;0
7500;63573;80601;HomeImp;Other;4;0;0;111.43518985;0;14;0
7500;32070;36811;DebtCon;Other;1;1;0;228.03600011;0;6;1
7500;72097;69408;HomeImp;Sales;4;1;0;155.39196223;1;23;0
7500;84479;104571;DebtCon;ProfExe;23;0;0;47.832851338;3;14;0
7500;88056;104794;DebtCon;ProfExe;25;0;0;56.750113136;2;14;0
7500;11358;36892;DebtCon;Other;5;0;0;286.9228238;0;11;0
7500;59000;72000;HomeImp;Office;5;0;3;295.86666667;0;19;1
7500;35945;49750;HomeImp;Other;3;0;0;122.06666667;0;23;1
7500;18400;29375;DebtCon;Other;6;1;0;147.1;0;9;1
7500;63500;86125;HomeImp;Other;5;0;0;136.1;0;8;1
7500;33600;50125;DebtCon;Other;2;0;0;146.93333333;0;18;1
7500;57800;109600;DebtCon;Mgr;4;0;1;124.13333333;1;18;1
7500;80440;72920;HomeImp;Mgr;8;0;1;201.5;0;24;1
7500;60000;87830;HomeImp;Other;5;0;0;153.26666667;2;16;1
7500;126000;151380;HomeImp;ProfExe;18;0;2;75.666666667;1;13;1
7500;49100;85650;HomeImp;Other;18;0;0;178.33466667;0;29;0
7500;39600;42000;DebtCon;Self;1;0;0;47.7;1;15;1
7500;42077;91676;HomeImp;Office;5.5;1;4;344.9;1;30;1
7500;42721;67000;DebtCon;Other;15;1;3;126.76666667;2;23;1
7500;12115;35910;HomeImp;Office;13;3;6;234.90075082;0;24;1
7500;67778;83368;DebtCon;ProfExe;15;0;0;227.29208976;0;17;0
